"payment_id","subscription_id","user_id","subscription_type","amount_cents","amount","payment_method","payment_time_raw","created_time_raw"
1905,85,1393,"Student",99,"0.99","Debit Card",NULL,"17:15.1"
1765,86,1064,"Premium",199,"1.99","Credit Card",NULL,"04:00.0"
1108,87,5877,"Family",299,"2.99","Debit Card",NULL,"50:17.2"
1131,88,5008,"Student",99,"0.99","Debit Card",NULL,"52:47.1"
202,89,1889,"Family",299,"2.99","Wallet",NULL,"51:31.8"
339,90,3637,"Student",99,"0.99","Debit Card",NULL,"17:03.3"
1926,91,2220,"Student",99,"0.99","Net Banking",NULL,"18:11.4"
2015,92,1105,"Student",99,"0.99","Wallet",NULL,"17:40.6"
1650,93,4096,"Family",299,"2.99","Debit Card",NULL,"14:28.3"
552,94,5492,"Premium",199,"1.99","Credit Card",NULL,"37:19.6"
2068,95,6828,"Student",99,"0.99","UPI",NULL,"56:23.7"
27,96,4893,"Student",99,"0.99","Net Banking",NULL,"16:35.1"
2085,97,2960,"Student",99,"0.99","Wallet",NULL,"41:51.2"
1816,98,4989,"Family",299,"2.99","Debit Card",NULL,"04:29.2"
501,99,4443,"Family",299,"2.99","Debit Card",NULL,"19:08.5"
349,100,6023,"Family",299,"2.99","UPI",NULL,"07:42.3"
223,101,305,"Family",299,"2.99","Net Banking",NULL,"59:26.1"
613,102,6425,"Premium",199,"1.99","Net Banking",NULL,"15:51.6"
985,103,3596,"Family",299,"2.99","Debit Card",NULL,"33:05.0"
1554,104,2036,"Premium",199,"1.99","Debit Card",NULL,"59:50.6"
308,105,5278,"Student",99,"0.99","Debit Card",NULL,"03:33.0"
1211,106,326,"Student",99,"0.99","Credit Card",NULL,"54:38.5"
939,107,2473,"Student",99,"0.99","UPI",NULL,"07:09.9"
1748,108,2328,"Student",99,"0.99","Credit Card",NULL,"25:24.5"
158,109,1383,"Student",99,"0.99","Wallet",NULL,"50:33.6"
778,110,6462,"Student",99,"0.99","Credit Card",NULL,"38:59.0"
231,111,3781,"Student",99,"0.99","Debit Card",NULL,"59:54.4"
2080,112,4444,"Student",99,"0.99","Wallet",NULL,"10:11.1"
1399,113,2805,"Student",99,"0.99","UPI",NULL,"05:28.6"
626,114,6231,"Student",99,"0.99","Debit Card",NULL,"18:24.5"
120,115,6196,"Family",299,"2.99","Credit Card",NULL,"20:58.6"
323,116,6795,"Family",299,"2.99","Credit Card",NULL,"29:12.1"
239,117,6013,"Premium",199,"1.99","Net Banking",NULL,"43:25.1"
1424,118,433,"Student",99,"0.99","UPI",NULL,"49:27.3"
1594,119,3986,"Family",299,"2.99","Wallet",NULL,"52:00.6"
800,120,4801,"Premium",199,"1.99","Debit Card",NULL,"17:06.5"
201,121,1321,"Family",299,"2.99","Net Banking",NULL,"21:56.7"
380,122,1953,"Family",299,"2.99","Wallet",NULL,"08:38.7"
274,123,438,"Premium",199,"1.99","Debit Card",NULL,"24:02.6"
1151,124,5036,"Student",99,"0.99","UPI",NULL,"27:34.7"
331,125,1158,"Student",99,"0.99","Wallet",NULL,"23:26.4"
735,126,5602,"Student",99,"0.99","Credit Card",NULL,"31:31.1"
965,127,1411,"Family",299,"2.99","Debit Card",NULL,"49:21.6"
233,128,5777,"Student",99,"0.99","Wallet",NULL,"26:26.7"
141,129,5833,"Student",99,"0.99","Net Banking",NULL,"27:08.8"
1886,130,645,"Student",99,"0.99","Wallet",NULL,"43:50.2"
1269,131,3887,"Student",99,"0.99","Credit Card",NULL,"41:38.1"
1344,132,5290,"Family",299,"2.99","Debit Card",NULL,"52:48.5"
1216,133,6678,"Student",99,"0.99","Net Banking",NULL,"55:51.8"
2070,134,2970,"Premium",199,"1.99","Credit Card",NULL,"13:26.1"
152,135,1916,"Family",299,"2.99","Credit Card",NULL,"13:12.1"
841,136,2839,"Student",99,"0.99","Net Banking",NULL,"50:44.3"
1031,137,5075,"Premium",199,"1.99","Wallet",NULL,"18:31.1"
693,138,6262,"Family",299,"2.99","Wallet",NULL,"00:43.8"
467,139,2809,"Family",299,"2.99","Net Banking",NULL,"15:21.6"
132,140,4645,"Family",299,"2.99","Wallet",NULL,"48:53.3"
725,141,3767,"Student",99,"0.99","UPI",NULL,"12:41.5"
432,142,1693,"Family",299,"2.99","Net Banking",NULL,"56:05.4"
1191,143,3893,"Family",299,"2.99","Credit Card",NULL,"47:14.4"
1849,144,5275,"Student",99,"0.99","UPI",NULL,"53:58.5"
648,145,4566,"Family",299,"2.99","Credit Card",NULL,"15:34.2"
1885,146,3290,"Student",99,"0.99","Debit Card",NULL,"02:33.4"
138,147,1118,"Student",99,"0.99","Debit Card",NULL,"33:52.0"
193,148,3009,"Family",299,"2.99","UPI",NULL,"48:23.2"
889,149,4482,"Student",99,"0.99","Wallet",NULL,"35:11.9"
931,150,4908,"Student",99,"0.99","Wallet",NULL,"04:01.1"
1094,151,4564,"Student",99,"0.99","Net Banking",NULL,"06:30.1"
1790,152,3426,"Premium",199,"1.99","Credit Card",NULL,"02:52.5"
1946,153,3869,"Student",99,"0.99","Net Banking",NULL,"48:20.7"
791,154,1493,"Family",299,"2.99","Credit Card",NULL,"56:31.7"
1544,155,6235,"Student",99,"0.99","Wallet",NULL,"22:16.5"
1078,156,764,"Family",299,"2.99","Net Banking",NULL,"52:29.6"
2097,157,2434,"Premium",199,"1.99","Debit Card",NULL,"27:26.7"
1167,158,2710,"Premium",199,"1.99","Net Banking",NULL,"23:48.1"
278,159,3118,"Family",299,"2.99","Credit Card",NULL,"37:52.3"
115,160,6939,"Family",299,"2.99","Credit Card",NULL,"31:51.2"
1409,161,983,"Student",99,"0.99","Wallet",NULL,"50:54.3"
50,162,952,"Student",99,"0.99","Net Banking",NULL,"01:45.3"
1023,163,3132,"Family",299,"2.99","Net Banking",NULL,"50:34.6"
1070,164,4813,"Student",99,"0.99","Debit Card",NULL,"35:21.9"
1286,165,5261,"Student",99,"0.99","UPI",NULL,"51:48.8"
913,166,3440,"Student",99,"0.99","Wallet",NULL,"09:20.7"
371,167,3750,"Student",99,"0.99","Debit Card",NULL,"45:34.9"
203,168,6931,"Student",99,"0.99","UPI",NULL,"38:54.7"
26,169,2388,"Premium",199,"1.99","Net Banking",NULL,"23:26.5"
1974,170,1847,"Student",99,"0.99","UPI",NULL,"09:57.6"
406,171,5996,"Family",299,"2.99","Debit Card",NULL,"21:12.2"
80,172,5710,"Premium",199,"1.99","Wallet",NULL,"58:41.8"
90,173,487,"Family",299,"2.99","Wallet",NULL,"32:17.5"
1702,174,448,"Student",99,"0.99","Debit Card",NULL,"46:52.6"
1892,175,168,"Family",299,"2.99","Net Banking",NULL,"26:19.3"
1442,176,6455,"Student",99,"0.99","Wallet",NULL,"34:15.3"
1559,177,2564,"Premium",199,"1.99","UPI",NULL,"15:19.6"
1378,178,5832,"Premium",199,"1.99","UPI",NULL,"30:14.6"
436,179,5875,"Premium",199,"1.99","Net Banking",NULL,"34:10.7"
346,180,3287,"Student",99,"0.99","Net Banking",NULL,"44:23.0"
475,181,4481,"Premium",199,"1.99","UPI",NULL,"52:41.7"
1975,182,744,"Student",99,"0.99","Debit Card",NULL,"03:27.0"
1406,183,2096,"Student",99,"0.99","UPI",NULL,"01:10.4"
1171,184,3481,"Family",299,"2.99","Net Banking",NULL,"14:31.5"
1470,185,5238,"Premium",199,"1.99","Debit Card",NULL,"48:47.6"
1044,186,4261,"Student",99,"0.99","Wallet",NULL,"24:08.4"
372,187,5595,"Student",99,"0.99","Credit Card",NULL,"24:18.0"
2,188,5561,"Student",99,"0.99","Net Banking",NULL,"36:52.6"
1555,189,990,"Family",299,"2.99","Debit Card",NULL,"57:20.3"
1330,190,1356,"Student",99,"0.99","Net Banking",NULL,"10:05.1"
1427,191,530,"Premium",199,"1.99","Wallet",NULL,"51:47.8"
179,192,3461,"Premium",199,"1.99","UPI",NULL,"35:45.6"
1700,193,869,"Student",99,"0.99","Wallet",NULL,"28:54.3"
1622,194,2816,"Student",99,"0.99","Credit Card",NULL,"21:16.0"
257,195,597,"Family",299,"2.99","UPI",NULL,"27:38.8"
1973,196,6990,"Student",99,"0.99","UPI",NULL,"10:04.1"
661,197,5415,"Premium",199,"1.99","Net Banking",NULL,"12:56.6"
127,198,4913,"Family",299,"2.99","Net Banking",NULL,"50:57.6"
1448,199,6599,"Student",99,"0.99","Credit Card",NULL,"46:47.8"
1632,200,1715,"Student",99,"0.99","Wallet",NULL,"38:47.5"
638,201,2290,"Family",299,"2.99","Debit Card",NULL,"49:15.5"
840,202,1673,"Student",99,"0.99","Debit Card",NULL,"37:50.5"
266,203,646,"Student",99,"0.99","Debit Card",NULL,"36:48.1"
1600,204,6796,"Student",99,"0.99","Credit Card",NULL,"59:51.3"
1458,205,3765,"Student",99,"0.99","UPI",NULL,"55:53.7"
1405,206,3390,"Student",99,"0.99","Net Banking",NULL,"01:15.7"
469,207,3984,"Student",99,"0.99","Debit Card",NULL,"41:53.4"
224,208,2002,"Premium",199,"1.99","Wallet",NULL,"40:31.3"
1577,209,3252,"Family",299,"2.99","Credit Card",NULL,"47:00.8"
676,210,248,"Student",99,"0.99","UPI",NULL,"08:14.8"
546,211,5011,"Family",299,"2.99","Wallet",NULL,"47:02.5"
1423,212,298,"Premium",199,"1.99","Net Banking",NULL,"24:40.2"
439,213,5349,"Student",99,"0.99","Credit Card",NULL,"17:18.1"
1308,214,3206,"Student",99,"0.99","Credit Card",NULL,"14:24.6"
1149,215,4929,"Premium",199,"1.99","Wallet",NULL,"51:10.2"
828,216,2400,"Student",99,"0.99","Debit Card",NULL,"52:47.4"
1502,217,2436,"Student",99,"0.99","UPI",NULL,"17:35.8"
348,218,2669,"Family",299,"2.99","Net Banking",NULL,"06:36.6"
1543,219,3232,"Family",299,"2.99","Credit Card",NULL,"01:35.1"
2088,220,3147,"Family",299,"2.99","Credit Card",NULL,"59:39.7"
583,221,6787,"Student",99,"0.99","UPI",NULL,"10:57.0"
54,222,4988,"Family",299,"2.99","Debit Card",NULL,"48:31.7"
640,223,2218,"Student",99,"0.99","Credit Card",NULL,"36:37.3"
547,224,5318,"Student",99,"0.99","Credit Card",NULL,"33:39.0"
194,225,2268,"Student",99,"0.99","UPI",NULL,"32:12.0"
479,226,6940,"Student",99,"0.99","Net Banking",NULL,"23:37.2"
1775,227,5671,"Student",99,"0.99","Debit Card",NULL,"48:24.9"
1391,228,4294,"Premium",199,"1.99","Net Banking",NULL,"31:49.5"
43,229,7,"Student",99,"0.99","Net Banking",NULL,"47:08.1"
271,230,5307,"Student",99,"0.99","UPI",NULL,"14:43.2"
444,231,1785,"Student",99,"0.99","Credit Card",NULL,"44:29.1"
533,232,6047,"Student",99,"0.99","UPI",NULL,"02:39.7"
385,233,6777,"Student",99,"0.99","Wallet",NULL,"23:17.3"
209,234,103,"Premium",199,"1.99","Net Banking",NULL,"30:51.2"
365,235,3254,"Student",99,"0.99","Net Banking",NULL,"34:16.1"
652,236,3770,"Student",99,"0.99","Debit Card",NULL,"49:41.2"
387,237,6349,"Student",99,"0.99","Credit Card",NULL,"33:04.5"
29,238,1027,"Family",299,"2.99","Debit Card",NULL,"46:33.1"
166,239,6486,"Premium",199,"1.99","Wallet",NULL,"15:15.0"
1289,240,2910,"Student",99,"0.99","Net Banking",NULL,"13:53.5"
1606,241,2148,"Family",299,"2.99","UPI",NULL,"29:18.2"
1601,242,6203,"Student",99,"0.99","Debit Card",NULL,"14:18.6"
1951,243,4706,"Premium",199,"1.99","Credit Card",NULL,"00:54.1"
252,244,5176,"Premium",199,"1.99","Debit Card",NULL,"51:38.5"
1364,245,6955,"Student",99,"0.99","Wallet",NULL,"35:06.6"
21,246,4300,"Student",99,"0.99","UPI",NULL,"57:34.5"
1750,247,3787,"Family",299,"2.99","Debit Card",NULL,"08:11.0"
1705,248,1828,"Student",99,"0.99","Debit Card",NULL,"14:17.4"
1604,249,4553,"Premium",199,"1.99","Debit Card",NULL,"13:42.3"
673,250,6913,"Student",99,"0.99","Wallet",NULL,"22:47.2"
1509,251,915,"Student",99,"0.99","Net Banking",NULL,"49:30.6"
825,252,6645,"Premium",199,"1.99","Credit Card",NULL,"01:45.9"
1556,253,4926,"Student",99,"0.99","Debit Card",NULL,"34:39.0"
1166,254,6012,"Family",299,"2.99","Credit Card",NULL,"08:25.8"
2024,255,920,"Premium",199,"1.99","Wallet",NULL,"10:04.7"
1626,256,4650,"Student",99,"0.99","Debit Card",NULL,"45:05.4"
1072,257,6234,"Student",99,"0.99","Debit Card",NULL,"20:30.3"
1099,258,1324,"Family",299,"2.99","Net Banking",NULL,"10:06.2"
1266,259,1226,"Student",99,"0.99","Debit Card",NULL,"26:49.4"
41,260,508,"Student",99,"0.99","UPI",NULL,"51:26.0"
447,261,4159,"Family",299,"2.99","Credit Card",NULL,"20:33.2"
1176,262,3256,"Student",99,"0.99","Credit Card",NULL,"03:05.9"
190,263,2062,"Family",299,"2.99","Credit Card",NULL,"38:39.9"
942,264,5539,"Premium",199,"1.99","Credit Card",NULL,"17:10.4"
1637,265,3564,"Family",299,"2.99","Net Banking",NULL,"32:00.6"
238,266,2098,"Student",99,"0.99","Credit Card",NULL,"10:04.4"
771,267,1829,"Student",99,"0.99","UPI",NULL,"14:58.0"
1607,268,4538,"Student",99,"0.99","UPI",NULL,"52:08.1"
1032,269,5564,"Premium",199,"1.99","Credit Card",NULL,"32:12.2"
2004,270,2443,"Student",99,"0.99","Debit Card",NULL,"36:34.3"
222,271,1296,"Family",299,"2.99","Credit Card",NULL,"04:05.7"
2032,272,3883,"Family",299,"2.99","Debit Card",NULL,"49:39.5"
854,273,3289,"Student",99,"0.99","UPI",NULL,"56:12.5"
758,274,5128,"Student",99,"0.99","Wallet",NULL,"46:07.5"
1641,275,1190,"Student",99,"0.99","Credit Card",NULL,"12:59.0"
1065,276,4563,"Family",299,"2.99","Debit Card",NULL,"44:08.1"
962,277,4970,"Student",99,"0.99","Credit Card",NULL,"28:22.5"
1163,278,2925,"Student",99,"0.99","Wallet",NULL,"01:50.9"
357,279,494,"Student",99,"0.99","Net Banking",NULL,"36:40.0"
726,280,6336,"Student",99,"0.99","Credit Card",NULL,"36:35.3"
1933,281,4174,"Student",99,"0.99","Wallet",NULL,"11:24.4"
1851,282,6004,"Student",99,"0.99","Debit Card",NULL,"40:01.8"
1312,283,5837,"Family",299,"2.99","Debit Card",NULL,"57:13.9"
1801,284,1176,"Premium",199,"1.99","Net Banking",NULL,"57:00.0"
1194,285,1659,"Family",299,"2.99","Wallet",NULL,"44:01.3"
755,286,285,"Student",99,"0.99","Net Banking",NULL,"47:29.5"
2098,287,4103,"Premium",199,"1.99","Debit Card",NULL,"14:38.9"
1389,288,6460,"Student",99,"0.99","Credit Card",NULL,"51:44.7"
1301,289,6017,"Premium",199,"1.99","Credit Card",NULL,"10:49.0"
764,290,5009,"Student",99,"0.99","Wallet",NULL,"31:22.7"
1394,291,4986,"Student",99,"0.99","Wallet",NULL,"45:53.6"
1978,292,3219,"Premium",199,"1.99","Credit Card",NULL,"52:47.7"
1644,293,6403,"Student",99,"0.99","Credit Card",NULL,"11:32.6"
908,294,322,"Student",99,"0.99","Credit Card",NULL,"42:46.2"
584,295,5031,"Premium",199,"1.99","Net Banking",NULL,"11:12.4"
1527,296,3332,"Family",299,"2.99","UPI",NULL,"03:50.7"
1913,297,1212,"Student",99,"0.99","Debit Card",NULL,"50:54.5"
126,298,5960,"Family",299,"2.99","Net Banking",NULL,"02:52.1"
285,299,2561,"Student",99,"0.99","Debit Card",NULL,"28:29.4"
1393,300,1921,"Student",99,"0.99","Credit Card",NULL,"50:17.2"
1688,301,814,"Premium",199,"1.99","Debit Card",NULL,"27:18.3"
1181,302,1239,"Family",299,"2.99","Credit Card",NULL,"19:14.4"
1255,303,566,"Student",99,"0.99","Wallet",NULL,"53:08.1"
192,304,5687,"Family",299,"2.99","Credit Card",NULL,"46:23.5"
1165,305,4734,"Student",99,"0.99","UPI",NULL,"35:52.5"
2034,306,2638,"Premium",199,"1.99","UPI",NULL,"48:58.8"
1185,307,244,"Student",99,"0.99","Net Banking",NULL,"13:27.9"
1579,308,6107,"Premium",199,"1.99","Wallet",NULL,"11:00.9"
2021,309,6842,"Premium",199,"1.99","Wallet",NULL,"20:28.9"
255,310,5164,"Premium",199,"1.99","Credit Card",NULL,"40:40.0"
1776,311,3547,"Student",99,"0.99","Credit Card",NULL,"15:25.2"
1071,312,2770,"Student",99,"0.99","Debit Card",NULL,"51:31.8"
1844,313,4194,"Family",299,"2.99","Debit Card",NULL,"15:21.5"
1653,314,5517,"Student",99,"0.99","Debit Card",NULL,"35:48.6"
1420,315,6205,"Premium",199,"1.99","UPI",NULL,"01:52.5"
829,316,1369,"Family",299,"2.99","Net Banking",NULL,"40:50.7"
243,317,1146,"Student",99,"0.99","Debit Card",NULL,"37:20.2"
1028,318,3544,"Premium",199,"1.99","UPI",NULL,"14:24.3"
1814,319,2579,"Student",99,"0.99","Credit Card",NULL,"44:01.6"
215,320,1849,"Student",99,"0.99","Credit Card",NULL,"05:03.8"
1140,321,1739,"Student",99,"0.99","Debit Card",NULL,"24:24.2"
869,322,112,"Student",99,"0.99","Credit Card",NULL,"49:20.5"
1174,323,2419,"Family",299,"2.99","Credit Card",NULL,"09:31.6"
1747,324,4056,"Premium",199,"1.99","Wallet",NULL,"35:28.4"
117,325,5410,"Student",99,"0.99","Credit Card",NULL,"33:52.1"
863,326,259,"Family",299,"2.99","Credit Card",NULL,"31:11.3"
225,327,6527,"Student",99,"0.99","Wallet",NULL,"47:26.2"
594,328,6492,"Student",99,"0.99","UPI",NULL,"54:47.5"
1928,329,2356,"Family",299,"2.99","Debit Card",NULL,"32:40.3"
1661,330,833,"Student",99,"0.99","Credit Card",NULL,"05:19.7"
714,331,3245,"Student",99,"0.99","Credit Card",NULL,"18:21.7"
1873,332,832,"Family",299,"2.99","Debit Card",NULL,"09:36.0"
614,333,5822,"Student",99,"0.99","Credit Card",NULL,"16:05.4"
1356,334,3901,"Family",299,"2.99","Credit Card",NULL,"17:04.2"
1680,335,4524,"Family",299,"2.99","Net Banking",NULL,"28:26.7"
11,336,449,"Student",99,"0.99","Debit Card",NULL,"40:26.8"
1226,337,2243,"Student",99,"0.99","Debit Card",NULL,"24:38.5"
1731,338,113,"Family",299,"2.99","Net Banking",NULL,"44:03.2"
627,339,1053,"Family",299,"2.99","Debit Card",NULL,"43:23.9"
751,340,1754,"Premium",199,"1.99","Net Banking",NULL,"01:10.5"
262,341,2278,"Student",99,"0.99","Wallet",NULL,"37:59.2"
904,342,5069,"Student",99,"0.99","Debit Card",NULL,"03:28.1"
1837,343,4017,"Student",99,"0.99","Credit Card",NULL,"19:37.9"
416,344,4420,"Family",299,"2.99","Wallet",NULL,"51:01.1"
1146,345,2289,"Family",299,"2.99","Debit Card",NULL,"19:10.1"
1392,346,6884,"Family",299,"2.99","Net Banking",NULL,"17:10.4"
381,347,4031,"Premium",199,"1.99","Wallet",NULL,"28:50.0"
310,348,4367,"Student",99,"0.99","Wallet",NULL,"37:17.8"
98,349,5360,"Family",299,"2.99","UPI",NULL,"38:16.8"
1357,350,5361,"Student",99,"0.99","Net Banking",NULL,"46:58.9"
1088,351,5180,"Premium",199,"1.99","Wallet",NULL,"15:04.0"
1914,352,5159,"Family",299,"2.99","Debit Card",NULL,"51:19.7"
809,353,2401,"Family",299,"2.99","Wallet",NULL,"13:35.6"
1976,354,124,"Student",99,"0.99","Wallet",NULL,"12:31.3"
495,355,1555,"Premium",199,"1.99","Wallet",NULL,"41:29.2"
328,356,6428,"Premium",199,"1.99","Wallet",NULL,"14:08.7"
798,357,1652,"Family",299,"2.99","Debit Card",NULL,"53:54.0"
669,358,3477,"Premium",199,"1.99","Net Banking",NULL,"55:30.1"
75,359,5251,"Premium",199,"1.99","Debit Card",NULL,"03:55.3"
641,360,991,"Family",299,"2.99","Wallet",NULL,"49:48.5"
858,361,2291,"Family",299,"2.99","Net Banking",NULL,"18:54.4"
887,362,500,"Premium",199,"1.99","Net Banking",NULL,"13:53.1"
486,363,4868,"Student",99,"0.99","Debit Card",NULL,"31:44.4"
422,364,4386,"Student",99,"0.99","Wallet",NULL,"23:55.8"
2089,365,93,"Student",99,"0.99","UPI",NULL,"57:27.2"
1931,366,2352,"Premium",199,"1.99","Debit Card",NULL,"19:16.7"
506,367,5469,"Premium",199,"1.99","UPI",NULL,"23:40.0"
1123,368,1358,"Family",299,"2.99","Wallet",NULL,"24:29.4"
1868,369,3463,"Student",99,"0.99","Debit Card",NULL,"44:50.1"
484,370,5761,"Student",99,"0.99","Debit Card",NULL,"35:04.7"
972,371,1471,"Student",99,"0.99","UPI",NULL,"11:30.6"
1993,372,3886,"Premium",199,"1.99","Debit Card",NULL,"15:59.7"
2073,373,917,"Student",99,"0.99","Debit Card",NULL,"11:38.8"
46,374,23,"Premium",199,"1.99","Wallet",NULL,"41:04.6"
537,375,6689,"Premium",199,"1.99","Wallet",NULL,"01:15.8"
1609,376,6970,"Family",299,"2.99","Debit Card",NULL,"10:59.4"
731,377,53,"Family",299,"2.99","UPI",NULL,"08:46.5"
1129,378,3291,"Premium",199,"1.99","Wallet",NULL,"57:58.2"
730,379,4790,"Student",99,"0.99","UPI",NULL,"46:26.5"
929,380,3963,"Student",99,"0.99","UPI",NULL,"25:06.3"
1734,381,1097,"Student",99,"0.99","Credit Card",NULL,"54:02.4"
956,382,1282,"Premium",199,"1.99","UPI",NULL,"23:39.5"
1315,383,3842,"Premium",199,"1.99","UPI",NULL,"02:55.2"
176,384,4550,"Student",99,"0.99","Debit Card",NULL,"15:59.8"
580,385,5944,"Premium",199,"1.99","Wallet",NULL,"22:08.3"
