"subscription_id","user_id","subscription_type","start_date","end_date","is_active","is_churned","tenure_days","tenure_bucket"
96,4893,"Student","2025-05-30","2025-08-28",False,True,90,"31-90 days"
97,2960,"Student","2019-07-13","2019-10-11",False,True,90,"31-90 days"
98,4989,"Family","2020-05-18","2020-08-16",False,True,90,"31-90 days"
99,4443,"Family","2024-01-12","2025-01-11",False,True,365,"181-365 days"
100,6023,"Family","2024-07-08","2024-08-07",False,True,30,"0-30 days"
101,305,"Family","2024-11-08","2025-02-06",False,True,90,"31-90 days"
102,6425,"Premium","2023-10-10","2024-04-07",False,True,180,"91-180 days"
103,3596,"Family","2022-10-10","2023-10-10",False,True,365,"181-365 days"
104,2036,"Premium","2021-03-10","2022-03-10",False,True,365,"181-365 days"
105,5278,"Student","2024-08-19","2024-09-18",False,True,30,"0-30 days"
106,326,"Student","2022-03-01","2023-03-01",False,True,365,"181-365 days"
107,2473,"Student","2022-11-21","2023-11-21",False,True,365,"181-365 days"
108,2328,"Student","2020-07-25","2021-07-25",False,True,365,"181-365 days"
109,1383,"Student","2025-01-15","2025-04-15",False,True,90,"31-90 days"
110,6462,"Student","2023-04-19","2023-05-19",False,True,30,"0-30 days"
111,3781,"Student","2024-10-30","2025-10-30",False,True,365,"181-365 days"
112,4444,"Student","2019-07-19","2019-10-17",False,True,90,"31-90 days"
113,2805,"Student","2021-07-30","2021-10-28",False,True,90,"31-90 days"
114,6231,"Student","2023-09-26","2023-12-25",False,True,90,"31-90 days"
115,6196,"Family","2025-02-19","2025-05-20",False,True,90,"31-90 days"
116,6795,"Family","2024-08-05","2024-09-04",False,True,30,"0-30 days"
117,6013,"Premium","2024-10-22","2024-11-21",False,True,30,"0-30 days"
118,433,"Student","2021-07-09","2022-07-09",False,True,365,"181-365 days"
119,3986,"Family","2021-01-19","2021-04-19",False,True,90,"31-90 days"
120,4801,"Premium","2023-04-01","2023-05-01",False,True,30,"0-30 days"
121,1321,"Family","2024-11-27","2025-11-27",False,True,365,"181-365 days"
122,1953,"Family","2024-06-09","2025-06-09",False,True,365,"181-365 days"
123,438,"Premium","2024-09-17","2025-09-17",False,True,365,"181-365 days"
124,5036,"Student","2022-05-06","2022-08-04",False,True,90,"31-90 days"
125,1158,"Student","2024-07-29","2025-07-29",False,True,365,"181-365 days"
126,5602,"Student","2023-06-08","2023-12-05",False,True,180,"91-180 days"
127,1411,"Family","2022-10-30","2023-10-30",False,True,365,"181-365 days"
128,5777,"Student","2024-10-28","2025-04-26",False,True,180,"91-180 days"
129,5833,"Student","2025-02-03","2025-05-04",False,True,90,"31-90 days"
130,645,"Student","2020-02-23","2020-03-24",False,True,30,"0-30 days"
131,3887,"Student","2022-01-07","2023-01-07",False,True,365,"181-365 days"
132,5290,"Family","2021-10-06","2021-11-05",False,True,30,"0-30 days"
133,6678,"Student","2022-02-26","2023-02-26",False,True,365,"181-365 days"
134,2970,"Premium","2019-07-27","2020-07-26",False,True,365,"181-365 days"
135,1916,"Family","2025-01-23","2026-01-23",True,False,362,"181-365 days"
136,2839,"Student","2023-02-18","2023-05-19",False,True,90,"31-90 days"
137,5075,"Premium","2022-08-30","2022-09-29",False,True,30,"0-30 days"
138,6262,"Family","2023-07-22","2023-10-20",False,True,90,"31-90 days"
139,2809,"Family","2024-02-27","2024-05-27",False,True,90,"31-90 days"
140,4645,"Family","2025-02-09","2026-02-09",True,False,345,"181-365 days"
141,3767,"Student","2023-06-18","2024-06-17",False,True,365,"181-365 days"
142,1693,"Family","2024-04-10","2025-04-10",False,True,365,"181-365 days"
143,3893,"Family","2022-03-21","2022-04-20",False,True,30,"0-30 days"
144,5275,"Student","2020-04-01","2020-06-30",False,True,90,"31-90 days"
145,4566,"Family","2023-09-02","2024-02-29",False,True,180,"91-180 days"
146,3290,"Student","2020-02-24","2021-02-23",False,True,365,"181-365 days"
147,1118,"Student","2025-02-04","2025-08-03",False,True,180,"91-180 days"
148,3009,"Family","2024-12-12","2025-06-10",False,True,180,"91-180 days"
149,4482,"Student","2023-01-09","2024-01-09",False,True,365,"181-365 days"
150,4908,"Student","2022-11-28","2023-02-26",False,True,90,"31-90 days"
151,4564,"Student","2022-07-07","2022-08-06",False,True,30,"0-30 days"
152,3426,"Premium","2020-06-20","2020-07-20",False,True,30,"0-30 days"
153,3869,"Student","2019-12-03","2020-05-31",False,True,180,"91-180 days"
154,1493,"Family","2023-04-07","2023-10-04",False,True,180,"91-180 days"
155,6235,"Student","2021-03-17","2021-09-13",False,True,180,"91-180 days"
156,764,"Family","2022-07-20","2022-08-19",False,True,30,"0-30 days"
157,2434,"Premium","2019-07-01","2020-06-30",False,True,365,"181-365 days"
158,2710,"Premium","2022-04-13","2022-10-10",False,True,180,"91-180 days"
159,3118,"Family","2024-09-11","2024-10-11",False,True,30,"0-30 days"
160,6939,"Family","2025-02-24","2025-05-25",False,True,90,"31-90 days"
161,983,"Student","2021-07-19","2022-07-19",False,True,365,"181-365 days"
162,952,"Student","2025-05-03","2025-10-30",False,True,180,"91-180 days"
163,3132,"Family","2022-09-05","2022-10-05",False,True,30,"0-30 days"
164,4813,"Student","2022-07-30","2023-07-30",False,True,365,"181-365 days"
165,5261,"Student","2021-12-10","2022-01-09",False,True,30,"0-30 days"
166,3440,"Student","2022-12-12","2023-03-12",False,True,90,"31-90 days"
167,3750,"Student","2024-06-16","2024-12-13",False,True,180,"91-180 days"
168,6931,"Student","2024-11-24","2025-11-24",False,True,365,"181-365 days"
169,2388,"Premium","2025-05-30","2026-05-30",True,False,235,"181-365 days"
170,1847,"Student","2019-10-29","2019-11-28",False,True,30,"0-30 days"
171,5996,"Family","2024-05-14","2024-06-13",False,True,30,"0-30 days"
172,5710,"Premium","2025-04-01","2026-04-01",True,False,294,"181-365 days"
173,487,"Family","2025-03-26","2026-03-26",True,False,300,"181-365 days"
174,448,"Student","2020-09-13","2021-03-12",False,True,180,"91-180 days"
175,168,"Family","2020-02-16","2020-08-14",False,True,180,"91-180 days"
176,6455,"Student","2021-06-17","2022-06-17",False,True,365,"181-365 days"
177,2564,"Premium","2021-03-03","2021-06-01",False,True,90,"31-90 days"
178,5832,"Premium","2021-08-20","2021-09-19",False,True,30,"0-30 days"
179,5875,"Premium","2024-04-03","2025-04-03",False,True,365,"181-365 days"
180,3287,"Student","2024-07-10","2024-10-08",False,True,90,"31-90 days"
181,4481,"Premium","2024-02-18","2025-02-17",False,True,365,"181-365 days"
182,744,"Student","2019-10-25","2020-04-22",False,True,180,"91-180 days"
183,2096,"Student","2021-07-22","2022-07-22",False,True,365,"181-365 days"
184,3481,"Family","2022-04-10","2022-05-10",False,True,30,"0-30 days"
185,5238,"Premium","2021-05-22","2022-05-22",False,True,365,"181-365 days"
186,4261,"Student","2022-08-18","2023-08-18",False,True,365,"181-365 days"
187,5595,"Student","2024-06-15","2025-06-15",False,True,365,"181-365 days"
188,5561,"Student","2025-07-02","2026-07-02",True,False,202,"181-365 days"
189,990,"Family","2021-03-08","2021-09-04",False,True,180,"91-180 days"
190,1356,"Student","2021-10-28","2022-01-26",False,True,90,"31-90 days"
191,530,"Premium","2021-07-06","2022-07-06",False,True,365,"181-365 days"
192,3461,"Premium","2024-12-29","2025-03-29",False,True,90,"31-90 days"
193,869,"Student","2020-09-16","2020-10-16",False,True,30,"0-30 days"
194,2816,"Student","2020-12-23","2021-01-22",False,True,30,"0-30 days"
195,597,"Family","2024-10-03","2025-01-01",False,True,90,"31-90 days"
196,6990,"Student","2019-10-30","2020-01-28",False,True,90,"31-90 days"
197,5415,"Premium","2023-08-18","2023-09-17",False,True,30,"0-30 days"
198,4913,"Family","2025-02-11","2026-02-11",True,False,343,"181-365 days"
199,6599,"Student","2021-06-09","2021-07-09",False,True,30,"0-30 days"
200,1715,"Student","2020-12-09","2021-12-09",False,True,365,"181-365 days"
201,2290,"Family","2023-09-14","2024-03-12",False,True,180,"91-180 days"
202,1673,"Student","2023-02-18","2023-03-20",False,True,30,"0-30 days"
203,646,"Student","2024-09-23","2025-09-23",False,True,365,"181-365 days"
204,6796,"Student","2021-01-12","2021-07-11",False,True,180,"91-180 days"
205,3765,"Student","2021-06-01","2021-08-30",False,True,90,"31-90 days"
206,3390,"Student","2021-07-24","2021-08-23",False,True,30,"0-30 days"
207,3984,"Student","2024-02-23","2025-02-22",False,True,365,"181-365 days"
208,2002,"Premium","2024-11-05","2025-05-04",False,True,180,"91-180 days"
209,3252,"Family","2021-02-12","2021-03-14",False,True,30,"0-30 days"
210,248,"Student","2023-08-06","2023-11-04",False,True,90,"31-90 days"
211,5011,"Family","2023-12-05","2024-03-04",False,True,90,"31-90 days"
212,298,"Premium","2021-07-10","2022-07-10",False,True,365,"181-365 days"
213,5349,"Student","2024-03-31","2025-03-31",False,True,365,"181-365 days"
214,3206,"Student","2021-11-20","2022-11-20",False,True,365,"181-365 days"
215,4929,"Premium","2022-05-08","2023-05-08",False,True,365,"181-365 days"
216,2400,"Student","2023-03-04","2023-06-02",False,True,90,"31-90 days"
217,2436,"Student","2021-04-20","2021-05-20",False,True,30,"0-30 days"
218,2669,"Family","2024-07-09","2024-10-07",False,True,90,"31-90 days"
219,3232,"Family","2021-03-18","2021-09-14",False,True,180,"91-180 days"
220,3147,"Family","2019-07-11","2019-10-09",False,True,90,"31-90 days"
221,6787,"Student","2023-11-01","2024-10-31",False,True,365,"181-365 days"
222,4988,"Family","2025-04-28","2026-04-28",True,False,267,"181-365 days"
223,2218,"Student","2023-09-13","2024-09-12",False,True,365,"181-365 days"
224,5318,"Student","2023-12-04","2024-03-03",False,True,90,"31-90 days"
225,2268,"Student","2024-12-11","2025-01-10",False,True,30,"0-30 days"
226,6940,"Student","2024-02-12","2024-08-10",False,True,180,"91-180 days"
227,5671,"Student","2020-07-02","2020-12-29",False,True,180,"91-180 days"
228,4294,"Premium","2021-08-03","2022-01-30",False,True,180,"91-180 days"
229,7,"Student","2025-05-13","2026-05-13",True,False,252,"181-365 days"
230,5307,"Student","2024-09-18","2024-12-17",False,True,90,"31-90 days"
231,1785,"Student","2024-03-28","2024-09-24",False,True,180,"91-180 days"
232,6047,"Student","2023-12-17","2024-03-16",False,True,90,"31-90 days"
233,6777,"Student","2024-06-03","2024-07-03",False,True,30,"0-30 days"
234,103,"Premium","2024-11-18","2025-05-17",False,True,180,"91-180 days"
235,3254,"Student","2024-06-22","2024-07-22",False,True,30,"0-30 days"
236,3770,"Student","2023-08-25","2023-09-24",False,True,30,"0-30 days"
237,6349,"Student","2024-06-02","2024-07-02",False,True,30,"0-30 days"
238,1027,"Family","2025-05-26","2025-11-22",False,True,180,"91-180 days"
239,6486,"Premium","2025-01-07","2025-04-07",False,True,90,"31-90 days"
240,2910,"Student","2021-12-09","2022-01-08",False,True,30,"0-30 days"
241,2148,"Family","2021-01-06","2021-02-05",False,True,30,"0-30 days"
242,6203,"Student","2021-01-11","2021-04-11",False,True,90,"31-90 days"
243,4706,"Premium","2019-11-26","2019-12-26",False,True,30,"0-30 days"
244,5176,"Premium","2024-10-06","2024-11-05",False,True,30,"0-30 days"
245,6955,"Student","2021-09-11","2022-03-10",False,True,180,"91-180 days"
246,4300,"Student","2025-06-03","2025-09-01",False,True,90,"31-90 days"
247,3787,"Family","2020-07-24","2021-07-24",False,True,365,"181-365 days"
248,1828,"Student","2020-09-07","2021-09-07",False,True,365,"181-365 days"
249,4553,"Premium","2021-01-09","2021-04-09",False,True,90,"31-90 days"
250,6913,"Student","2023-08-08","2024-08-07",False,True,365,"181-365 days"
251,915,"Student","2021-04-15","2021-05-15",False,True,30,"0-30 days"
252,6645,"Premium","2023-03-07","2024-03-06",False,True,365,"181-365 days"
253,4926,"Student","2021-03-07","2021-04-06",False,True,30,"0-30 days"
254,6012,"Family","2022-04-13","2022-05-13",False,True,30,"0-30 days"
255,920,"Premium","2019-09-10","2019-10-10",False,True,30,"0-30 days"
256,4650,"Student","2020-12-19","2021-03-19",False,True,90,"31-90 days"
257,6234,"Student","2022-07-27","2022-10-25",False,True,90,"31-90 days"
258,1324,"Family","2022-07-05","2022-08-04",False,True,30,"0-30 days"
259,1226,"Student","2022-01-12","2022-02-11",False,True,30,"0-30 days"
260,508,"Student","2025-05-15","2025-08-13",False,True,90,"31-90 days"
261,4159,"Family","2024-03-24","2024-09-20",False,True,180,"91-180 days"
262,3256,"Student","2022-04-05","2022-07-04",False,True,90,"31-90 days"
263,2062,"Family","2024-12-14","2025-06-12",False,True,180,"91-180 days"
264,5539,"Premium","2022-11-17","2022-12-17",False,True,30,"0-30 days"
265,3564,"Family","2020-12-06","2021-01-05",False,True,30,"0-30 days"
266,2098,"Student","2024-10-24","2024-11-23",False,True,30,"0-30 days"
267,1829,"Student","2023-04-30","2024-04-29",False,True,365,"181-365 days"
268,4538,"Student","2021-01-06","2021-04-06",False,True,90,"31-90 days"
269,5564,"Premium","2022-08-30","2022-11-28",False,True,90,"31-90 days"
270,2443,"Student","2019-09-26","2019-10-26",False,True,30,"0-30 days"
271,1296,"Family","2024-11-08","2025-11-08",False,True,365,"181-365 days"
272,3883,"Family","2019-09-01","2020-02-28",False,True,180,"91-180 days"
273,3289,"Student","2023-02-03","2023-05-04",False,True,90,"31-90 days"
274,5128,"Student","2023-05-16","2023-06-15",False,True,30,"0-30 days"
275,1190,"Student","2020-12-02","2021-01-01",False,True,30,"0-30 days"
276,4563,"Family","2022-08-04","2022-09-03",False,True,30,"0-30 days"
277,4970,"Student","2022-11-01","2023-01-30",False,True,90,"31-90 days"
278,2925,"Student","2022-04-15","2022-05-15",False,True,30,"0-30 days"
279,494,"Student","2024-06-28","2024-07-28",False,True,30,"0-30 days"
280,6336,"Student","2023-06-17","2023-12-14",False,True,180,"91-180 days"
281,4174,"Student","2019-12-22","2020-12-21",False,True,365,"181-365 days"
282,6004,"Student","2020-03-30","2020-06-28",False,True,90,"31-90 days"
283,5837,"Family","2021-11-13","2022-02-11",False,True,90,"31-90 days"
284,1176,"Premium","2020-06-06","2021-06-06",False,True,365,"181-365 days"
285,1659,"Family","2022-03-19","2022-04-18",False,True,30,"0-30 days"
286,285,"Student","2023-05-16","2023-06-15",False,True,30,"0-30 days"
287,4103,"Premium","2019-06-26","2020-06-25",False,True,365,"181-365 days"
288,6460,"Student","2021-08-05","2021-09-04",False,True,30,"0-30 days"
289,6017,"Premium","2021-11-29","2021-12-29",False,True,30,"0-30 days"
290,5009,"Student","2023-05-10","2023-06-09",False,True,30,"0-30 days"
291,4986,"Student","2021-08-01","2021-10-30",False,True,90,"31-90 days"
292,3219,"Premium","2019-10-15","2020-04-12",False,True,180,"91-180 days"
293,6403,"Student","2020-11-29","2021-11-29",False,True,365,"181-365 days"
294,322,"Student","2022-12-19","2023-03-19",False,True,90,"31-90 days"
295,5031,"Premium","2023-11-01","2024-04-29",False,True,180,"91-180 days"
296,3332,"Family","2021-04-01","2021-09-28",False,True,180,"91-180 days"
297,1212,"Student","2020-01-18","2020-07-16",False,True,180,"91-180 days"
298,5960,"Family","2025-02-11","2025-05-12",False,True,90,"31-90 days"
299,2561,"Student","2024-09-04","2024-10-04",False,True,30,"0-30 days"
300,1921,"Student","2021-08-02","2022-01-29",False,True,180,"91-180 days"
301,814,"Premium","2020-09-26","2021-09-26",False,True,365,"181-365 days"
302,1239,"Family","2022-03-31","2022-06-29",False,True,90,"31-90 days"
303,566,"Student","2022-01-23","2023-01-23",False,True,365,"181-365 days"
304,5687,"Family","2024-12-12","2025-03-12",False,True,90,"31-90 days"
305,4734,"Student","2022-04-14","2022-10-11",False,True,180,"91-180 days"
306,2638,"Premium","2019-08-28","2020-02-24",False,True,180,"91-180 days"
307,244,"Student","2022-03-26","2022-06-24",False,True,90,"31-90 days"
308,6107,"Premium","2021-02-09","2021-08-08",False,True,180,"91-180 days"
309,6842,"Premium","2019-09-13","2020-03-11",False,True,180,"91-180 days"
310,5164,"Premium","2024-10-05","2025-01-03",False,True,90,"31-90 days"
311,3547,"Student","2020-06-30","2020-07-30",False,True,30,"0-30 days"
312,2770,"Student","2022-07-29","2022-08-28",False,True,30,"0-30 days"
313,4194,"Family","2020-04-10","2020-05-10",False,True,30,"0-30 days"
314,5517,"Student","2020-11-16","2021-11-16",False,True,365,"181-365 days"
315,6205,"Premium","2021-07-10","2021-08-09",False,True,30,"0-30 days"
316,1369,"Family","2023-03-03","2023-06-01",False,True,90,"31-90 days"
317,1146,"Student","2024-10-15","2025-10-15",False,True,365,"181-365 days"
318,3544,"Premium","2022-09-01","2023-09-01",False,True,365,"181-365 days"
319,2579,"Student","2020-05-19","2020-11-15",False,True,180,"91-180 days"
320,1849,"Student","2024-11-11","2024-12-11",False,True,30,"0-30 days"
321,1739,"Student","2022-05-23","2023-05-23",False,True,365,"181-365 days"
322,112,"Student","2023-01-22","2024-01-22",False,True,365,"181-365 days"
323,2419,"Family","2022-04-05","2022-07-04",False,True,90,"31-90 days"
324,4056,"Premium","2020-07-27","2020-08-26",False,True,30,"0-30 days"
325,5410,"Student","2025-02-22","2025-08-21",False,True,180,"91-180 days"
326,259,"Family","2023-01-31","2023-03-02",False,True,30,"0-30 days"
327,6527,"Student","2024-11-02","2025-11-02",False,True,365,"181-365 days"
328,6492,"Student","2023-10-24","2023-11-23",False,True,30,"0-30 days"
329,2356,"Family","2019-12-27","2020-06-24",False,True,180,"91-180 days"
330,833,"Student","2020-10-29","2020-11-28",False,True,30,"0-30 days"
331,3245,"Student","2023-06-28","2023-12-25",False,True,180,"91-180 days"
332,832,"Family","2020-03-05","2020-09-01",False,True,180,"91-180 days"
333,5822,"Student","2023-10-10","2024-04-07",False,True,180,"91-180 days"
334,3901,"Family","2021-09-24","2021-10-24",False,True,30,"0-30 days"
335,4524,"Family","2020-10-11","2021-01-09",False,True,90,"31-90 days"
336,449,"Student","2025-06-19","2025-12-16",False,True,180,"91-180 days"
337,2243,"Student","2022-02-14","2022-08-13",False,True,180,"91-180 days"
338,113,"Family","2020-08-23","2021-02-19",False,True,180,"91-180 days"
339,1053,"Family","2023-09-24","2023-10-24",False,True,30,"0-30 days"
340,1754,"Premium","2023-05-19","2023-08-17",False,True,90,"31-90 days"
341,2278,"Student","2024-09-26","2025-03-25",False,True,180,"91-180 days"
342,5069,"Student","2022-12-21","2023-01-20",False,True,30,"0-30 days"
343,4017,"Student","2020-04-21","2020-07-20",False,True,90,"31-90 days"
344,4420,"Family","2024-05-05","2024-08-03",False,True,90,"31-90 days"
345,2289,"Family","2022-05-12","2022-11-08",False,True,180,"91-180 days"
346,6884,"Family","2021-08-03","2022-01-30",False,True,180,"91-180 days"
347,4031,"Premium","2024-06-09","2024-12-06",False,True,180,"91-180 days"
348,4367,"Student","2024-08-17","2024-09-16",False,True,30,"0-30 days"
349,5360,"Family","2025-03-19","2025-09-15",False,True,180,"91-180 days"
350,5361,"Student","2021-09-19","2022-09-19",False,True,365,"181-365 days"
351,5180,"Premium","2022-07-10","2022-08-09",False,True,30,"0-30 days"
352,5159,"Family","2020-01-18","2020-04-17",False,True,90,"31-90 days"
353,2401,"Family","2023-03-25","2024-03-24",False,True,365,"181-365 days"
354,124,"Student","2019-10-20","2020-10-19",False,True,365,"181-365 days"
355,1555,"Premium","2024-01-17","2024-04-16",False,True,90,"31-90 days"
356,6428,"Premium","2024-08-01","2024-10-30",False,True,90,"31-90 days"
357,1652,"Family","2023-04-02","2023-07-01",False,True,90,"31-90 days"
358,3477,"Premium","2023-08-12","2024-08-11",False,True,365,"181-365 days"
359,5251,"Premium","2025-04-05","2025-10-02",False,True,180,"91-180 days"
360,991,"Family","2023-09-12","2024-03-10",False,True,180,"91-180 days"
361,2291,"Family","2023-02-02","2023-03-04",False,True,30,"0-30 days"
362,500,"Premium","2023-01-13","2023-04-13",False,True,90,"31-90 days"
363,4868,"Student","2024-01-30","2025-01-29",False,True,365,"181-365 days"
364,4386,"Student","2024-05-01","2024-07-30",False,True,90,"31-90 days"
365,93,"Student","2019-07-11","2020-07-10",False,True,365,"181-365 days"
366,2352,"Premium","2019-12-22","2020-06-19",False,True,180,"91-180 days"
367,5469,"Premium","2024-01-09","2025-01-08",False,True,365,"181-365 days"
368,1358,"Family","2022-06-04","2022-12-01",False,True,180,"91-180 days"
369,3463,"Student","2020-03-08","2020-04-07",False,True,30,"0-30 days"
370,5761,"Student","2024-01-30","2024-02-29",False,True,30,"0-30 days"
371,1471,"Student","2022-10-28","2023-04-26",False,True,180,"91-180 days"
372,3886,"Premium","2019-10-02","2019-11-01",False,True,30,"0-30 days"
373,917,"Student","2019-07-24","2019-08-23",False,True,30,"0-30 days"
374,23,"Premium","2025-05-06","2025-06-05",False,True,30,"0-30 days"
